ID,nuts,indicator,type,2014,2015,2016,2017,2018,2019,2020,2007,2008,2009,2010,2011,2012,2013,2000,2001,2002,2003,2004,2005,2006,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2021,1982,1983,1984,1985,1981
AT.bldgs_res.all,AT,bldgs_res,all,2098475,2115169,2132581,2149811,2167192,2184202,2203032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.dwellings.all,AT,dwellings,all,4589318,4642928,4700145,4756560,4821044,4875111,4937709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.dwellings.flat,AT,dwellings,flat,2820855,2862042,2905637,2948680,2999357,3039223,3086290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.dwellings.house,AT,dwellings,house,1768463,1780886,1794508,1807880,1821687,1835888,1851419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.gdp.all,AT,gdp,all,333146100000,344269199800,357299700100,370295800000,385711899700,398948900000,,283978000100,293761900000,288044000100,295896600100,310128700000,318653000100,323910199900,213606500000,220525100000,226735200000,231862499900,242348300000,2.54075e+11,267824500400,,,,,131075100000,140611700200,150786000100,162540399900,171708600100,184351100100,186967700100,187854099900,195011600300,203850600000,,,,,,
AT.hhincgross_pp.all,AT,hhincgross_pp,all,23743.2,23783.6,24493,25146.8,25899.7,26614,,21335.7,21936.5,21915.3,22060.4,22573.7,23356.5,23284.9,16937.4,17181.8,17467.2,17989.1,18543.3,19625.5,20437.9,,,,,9402.9,10087,10816.9,11660.1,12317.8,15715.7,15608.5,15217,15630.5,16374.6,,,,,,
AT.hhincnet_pp.all,AT,hhincnet_pp,all,22316.2,22344.6,23040,23662.8,24367.7,25028,,20169.7,20715.5,20663.3,20778.4,21249.7,21990.5,21883.9,15961.4,16179.8,16443.2,16947.1,17475.3,18529.5,19313.9,,,,,9402.9,10087,10816.9,11660.1,12317.8,14852.7,14732.5,14333,14718.5,15430.6,,,,,,
AT.m2perdwl.all,AT,m2perdwl,all,90.8,90.9,91.2,91.3,91.4,91.6,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.m2perdwl.flat,AT,m2perdwl,flat,62.1,62.2,62.5,62.6,62.7,62.8,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.m2perdwl.house,AT,m2perdwl,house,136.5,137,137.6,138.2,138.7,139.3,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.m2perperson.all,AT,m2perperson,all,48.7,48.8,49.1,49.4,49.8,50.3,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.nbscrapes.all,AT,nbscrapes,all,,,,,,15403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.nbscrapes.flat,AT,nbscrapes,flat,,,,,,11921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.nbscrapes.house,AT,nbscrapes,house,,,,,,3482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.p2inc.all,AT,p2inc,all,7.6,8,8.3,9.1,9.3,9.7,,6.3,6.1,6.3,6.7,6.6,7.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.p2inc.flat,AT,p2inc,flat,9,9.3,9.6,10.2,10.5,11.2,,6.5,6.4,6.7,7.1,7.4,8.3,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.p2inc.house,AT,p2inc,house,6.7,7.1,7.3,8.2,8.4,8.7,,6.1,5.9,6,6.4,6.1,6.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT.pop.all,AT,pop,all,8545908,8642698,8736667,8797567,8840519,8883826,8926501,8295486,8321497,8343326,8363402,8391643,8429989,8479374,8011565,8042292,8081954,8121422,8171964,8227831,8268641,,,,,7677848,7754892,7840708,7905630,7936120,7948280,7959019,7968043,7976789,7992322,8968475,,,,,
AT.pop2dwl.all,AT,pop2dwl,all,18.6,18.6,18.6,18.5,18.3,18.2,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
